"Input";"Coordinates"
" ERROR! Input:MORAVIA OPOSTO"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"ARY TORRES";"-23.6525068,-46.71259570000001"
"ALVARO RAMOS METRO BELEM";"-23.542508,-46.5896568"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"QUINTANA";"28.9333037,-95.30827110000001"
"TATUAPE";"-23.5352452,-46.57546300000001"
"R ANGATUBA";"-23.4948382,-48.413792400000034"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
"LUIS GAMA";"-21.2039289,-50.44157340000004"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"QUINTANA";"28.9333037,-95.30827110000001"
"PTE DA CASA VERDE";"-23.5163377,-46.65394409999999"
"R ANGATUBA";"-23.4948382,-48.413792400000034"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS TERMINO DA PTE"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
"R S CAETANO";"38.4287321,-28.42507260000002"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"R S CAETANO";"38.4287321,-28.42507260000002"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"R S CAETANO";"38.4287321,-28.42507260000002"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"R S CAETANO";"38.4287321,-28.42507260000002"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"R S CAETANO";"38.4287321,-28.42507260000002"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DO LIMAO";"-23.5150173,-46.66679069999998"
"R S CAETANO";"38.4287321,-28.42507260000002"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"Input";"Coordinates"
"GRANDE SAO PAULO";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"R PROF MILTON RODRIGUES ANHEMBI";"-23.5175991,-46.638759400000026"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"R PROF MILTON RODRIGUES ANHEMBI";"-23.5175991,-46.638759400000026"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
